STATE,NOEXCH,MDMAUD,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,MDMAUD_R,MDMAUD_F,MDMAUD_A,GEOCODE2,DOMAIN_A,DOMAIN_B
IL,0,XXXX,36,U,F,R2,L,E,X,X,X,C,T,2
CA,0,XXXX,14,H,M,3,L,G,X,X,X,A,S,1
NC,0,XXXX,43,U,M,3,L,E,X,X,X,C,R,2
CA,0,XXXX,44,U,F,3,L,E,X,X,X,C,R,2
FL,0,XXXX,16,H,F,3,L,F,X,X,X,A,S,2
other,0,XXXX,40,U,F,R2,L,F,X,X,X,C,T,2
IN,0,XXXX,40,H,F,3,L,E,X,X,X,D,T,2
other,0,XXXX,39,U,F,1,L,E,X,X,X,C,T,2
other,0,XXXX,45,U,M,3,L,F,X,X,X,D,R,2
other,0,XXXX,35,U,M,R2,L,F,X,X,X,B,T,1
other,0,XXXX,53,U,F,1,L,F,X,X,X,D,R,3
IN,0,XXXX,17,U,M,3,L,F,X,X,X,B,S,2
other,0,XXXX,51,H,F,3,L,D,X,X,X,D,R,3
other,0,XXXX,40,U,M,R2,L,G,X,X,X,B,T,2
other,0,XXXX,35,H,M,3,L,F,X,X,X,D,T,1
CA,0,XXXX,2,H,M,1,L,F,X,X,X,A,U,1
MI,0,XXXX,20,U,M,3,L,F,X,X,X,A,S,2
IL,0,XXXX,43,U,F,2,L,G,X,X,X,C,R,2
FL,0,XXXX,16,H,F,3,L,F,X,X,X,B,S,2
NC,0,XXXX,27,U,M,R2,L,F,X,X,X,C,C,2
other,0,XXXX,12,H,F,3,L,D,X,X,X,A,S,1
MI,0,XXXX,43,U,M,3,L,G,X,X,X,C,R,2
FL,0,XXXX,40,U,F,R2,L,G,X,X,X,C,T,2
IL,0,XXXX,22,U,F,R2,L,E,X,X,X,A,C,1
other,0,XXXX,35,H,F,3,L,E,X,X,X,A,T,1
CA,0,XXXX,35,H,M,3,L,F,X,X,X,B,T,1
IL,0,XXXX,13,H,F,2,L,G,X,X,X,A,S,1
MO,0,XXXX,35,H,M,3,L,E,X,X,X,D,T,1
TX,0,XXXX,35,H,F,3,L,E,X,X,X,A,T,1
IL,0,XXXX,40,U,F,3,L,E,X,X,X,A,T,2
TX,0,XXXX,35,U,M,R2,L,D,X,X,X,A,T,1
MO,0,XXXX,8,H,M,3,L,F,X,X,X,A,U,3
NC,0,XXXX,25,U,F,3,L,G,X,X,X,B,C,2
FL,0,XXXX,15,U,F,3,L,F,X,X,X,A,S,1
other,0,XXXX,40,U,F,R2,L,F,X,X,X,B,R,2
other,0,XXXX,42,U,M,R2,L,F,X,X,X,C,R,1
TX,0,XXXX,12,H,M,3,L,G,X,X,X,B,S,1
CA,0,XXXX,11,U,F,3,L,G,X,X,X,A,S,1
other,0,XXXX,17,H,F,2,L,F,X,X,X,A,S,2
other,0,XXXX,36,H,F,3,L,G,X,X,X,D,T,2
IL,0,XXXX,28,U,F,R2,L,G,X,X,X,B,C,2
MI,0,XXXX,2,U,F,R2,L,E,X,X,X,B,U,1
WA,0,XXXX,14,H,M,3,L,F,X,X,X,A,S,1
FL,0,XXXX,35,H,M,3,L,F,X,X,X,A,T,1
WI,0,XXXX,18,H,F,3,L,F,X,X,X,B,S,2
other,0,XXXX,24,H,F,3,L,D,X,X,X,C,C,1
other,0,XXXX,40,U,F,2,L,E,X,X,X,C,R,2
IN,0,XXXX,34,H,M,2,L,F,X,X,X,C,T,1
WA,0,XXXX,5,U,M,R2,L,F,X,X,X,A,U,2
TX,0,XXXX,31,H,M,2,L,F,X,X,X,C,C,3
IL,0,XXXX,44,U,F,2,L,F,X,X,X,B,R,2
NC,0,XXXX,32,H,F,3,L,F,X,X,X,B,C,3
NC,0,XXXX,27,H,F,2,L,D,X,X,X,B,C,2
FL,0,XXXX,18,H,F,3,L,E,X,X,X,A,S,2
IL,0,XXXX,36,H,M,2,L,F,X,X,X,C,T,2
CA,0,XXXX,46,U,F,R2,L,G,X,X,X,A,R,2
CA,0,XXXX,3,U,F,2,L,E,X,X,X,A,U,1
other,0,XXXX,50,H,F,2,L,F,X,X,X,D,R,3
TX,0,XXXX,18,U,M,R2,L,F,X,X,X,A,S,2
IN,0,XXXX,44,H,F,2,L,F,X,X,X,C,R,2
TX,0,XXXX,40,H,M,3,L,F,X,X,X,A,T,2
GA,0,XXXX,44,H,F,2,L,F,X,X,X,B,R,2
other,0,XXXX,53,H,M,2,L,F,X,X,X,D,R,3
TX,0,XXXX,40,H,F,3,L,F,X,X,X,A,T,2
GA,0,XXXX,46,H,M,3,L,F,X,X,X,D,R,2
